place_id,country,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJn1FUnktd1moRgZCDC6aPCcw,AU,Patricia Coffee Brewers,"Rear of, 493-495 Little Bourke St, Melbourne VIC 3000",-37.814693399999996,144.9582383,https://maps.google.com/?cid=14702440401848209537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,4355,coffee roaster;coffee roastery;specialty coffee roaster,Melbourne
ChIJJ5bS6P9n1moRx76U3LjtN1A,AU,ST. ALi Coffee Roasters - South Melbourne,"12-18 Yarra Pl, South Melbourne VIC 3205",-37.831247499999996,144.960354,https://maps.google.com/?cid=5780350024983822023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,breakfast_restaurant,coffee_shop,coffee_roastery,event_venue,food_store,store,restaurant,food,point_of_interest,establishment",OPERATIONAL,4.2,3898,coffee roaster,Melbourne
ChIJvdx3kjJd1moRHnjYhByshFo,AU,Seven Seeds Coffee Roasters,"114 Berkeley St, Carlton VIC 3053",-37.8029711,144.95900269999998,https://maps.google.com/?cid=6522527398827161630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,brunch_restaurant,breakfast_restaurant,coffee_shop,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.4,3760,coffee roaster;coffee roastery;specialty coffee roaster,Melbourne
ChIJ6VLiOLVC1moRUX_Qgb0CEyU,AU,Brother Baba Budan,"359 Little Bourke St, Melbourne VIC 3000",-37.813541,144.9620988,https://maps.google.com/?cid=2671482016910835537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,breakfast_restaurant,cafe,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.5,3356,coffee roaster;coffee roastery,Melbourne
ChIJKd1Mb0JNFmsR7KSYf9YG9DQ,AU,The Cupping Room,"1/1-13 University Ave, Canberra ACT 2601",-35.2804953,149.12604869999998,https://maps.google.com/?cid=3815682302623130860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_shop,breakfast_restaurant,brunch_restaurant,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.3,2752,coffee roaster,Canberra
ChIJHRwF-BeuEmsRRwfUQVNfsdU,AU,Paramount Coffee Project,"80 Commonwealth St, Surry Hills NSW 2010",-33.8793807,151.2111141,https://maps.google.com/?cid=15398193412147775303&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,brunch_restaurant,coffee_roastery,breakfast_restaurant,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.2,2418,coffee roastery,Sydney
ChIJ0ZSpaw-3MioROqbF-_KwRWA,AU,Yahava KoffeeWorks Swan Valley,"4752 W Swan Rd, West Swan WA 6055",-31.854604599999995,115.9876788,https://maps.google.com/?cid=6937145358686725690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,breakfast_restaurant,cafe,tourist_attraction,food_store,store,wholesaler,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.5,2414,coffee roastery,Perth
ChIJeWDDDNOvEmsRF8SMPUwPbhw,AU,Industry Beans York St,"Shop 2/40 York St, Sydney NSW 2000",-33.869327399999996,151.2062418,https://maps.google.com/?cid=2048591700624720919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.6,2396,coffee roaster;coffee roastery,Sydney
ChIJ_7ffMiFD1moR5NCnlSFhECk,AU,Industry Beans Fitzroy,"70-76 Westgarth St, Fitzroy VIC 3065",-37.7948113,144.9781341,https://maps.google.com/?cid=2958971752055034084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,brunch_restaurant,breakfast_restaurant,restaurant,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.4,2038,coffee roaster;coffee roastery,Melbourne_Fitzroy
ChIJQZ-aOeBC1moRuuo3eAh3hGE,AU,Proud Mary Coffee,"172 Oxford St, Collingwood VIC 3066",-37.802338299999995,144.9851717,https://maps.google.com/?cid=7026872196865190586&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,breakfast_restaurant,coffee_shop,coffee_roastery,restaurant,wholesaler,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.5,2021,coffee roaster,Melbourne_Fitzroy
