v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
my0wwIcFrPTD,프렙커피로스터스,부산광역시 기장군 정관읍 곰내길 634,35.3150231,129.1720117,74,not_found,ChIJI0pZ3TiMaDURnx1cAVLQqKg,제이엠커피로스터스 부산본점,부산광역시 기장군 기장읍 대변3길 8,https://maps.google.com/?cid=12153192645087993247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.2228426,129.2316194,0.0,11590.8,-0.4
qQfI6pOHa65S,스프레드,강원도 원주시 원문로 180 삼성철물 윗층,37.3564159,127.9297693,73,not_found,ChIJRS5LaRN1YzURdwIDKjn-7pk,신화철물,대한민국 원주시,https://maps.google.com/?cid=11092082453731541623&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.3557498,127.95564960000002,0.0,2288.7,-0.4
MnJmQGWPJSi2,디프피 커피로스터스,부산광역시 북구 의성로128번길 51 1층 디프피커피로스터스,35.2085169,129.0085991,72,not_found,ChIJyZjBN0iVaDUR_jxfYPAXtDg,마비스커피,부산광역시 북구 만덕대로 42,https://maps.google.com/?cid=4085917083108326654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.2110371,129.0096579,0.0,296.3,0.05
Ua5gPwoxUjwv,오퍼스 커피로스터즈,경기도 수원시 팔달구 효원로308번길 58-9 트윈파크 A동 114호,37.2578591,127.0336773,72,not_found,ChIJ1VNGFllDezURptyNKrR36AE,도손도손,경기도 수원시 팔달구 인계동 1122-7 번지 정동 빌딩 1 층 도손 도 손,https://maps.google.com/?cid=137491404326558886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.262563,127.03573800000001,0.0,553.9,0.0
Fd2JU3iNRhcr,ST 535,서울특별시 동작구 상도로30길 40 두산위브트레지움 2차 상가 106호,37.5043736,126.9422357,71,not_found,ChIJ2W1aNwWffDUR-Bnz-SefZIw,상도2차두산위브트레지움아파트,서울특별시 동작구 상도로30길 40,https://maps.google.com/?cid=10116385657026976248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.503744999999995,126.94343970000001,0.0,127.1,0.15
UaxiivFhzbSN,우드사이드,서울특별시 종로구 자하문로 242 1층,37.5957499,126.964113,71,not_found,,,,,,,0,,0
xUrEadjUiqeV,커피볶는집토브,경기도 군포시 산본로 390 대림타운 109호,37.3646925,126.9301931,70,not_found,ChIJ0ehRHQ1nezURhrS60FJwgmk,커피볶는집마실,경기도 군포시 산본동 산본로323번길 26-26,https://maps.google.com/?cid=7602762621946344582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.3595003,126.9306542,0.333,578.8,0.333
wD80r8sb00nv,올니드커피 로스터스,경기도 남양주시 다산중앙로146번길 18 와이파크타워 1층 107호 올니드커피 로스터스,37.6257167,127.1544121,69,not_found,ChIJ5SOlbgC3fDURxrSyPyZBAIo,인크커피 다산점,경기도 남양주시 다산순환로 20 다산 현대프리미어캠퍼스몰 A동 B1F 1F,https://maps.google.com/?cid=9944019609767294150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.613434399999996,127.15153790000001,0.0,1389.0,0.0
TZEMlIu549Cu,HYGGE LAB,경기도 부천시 원미구 평천로 680,37.5134384,126.7648911,68,not_found,ChIJ-18Ps0p9ezURmKHi5wzd2Sk,어여쁘리,경기도 부천시 원미구 중1동 석천로177번길 29,https://maps.google.com/?cid=3015684473000993176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5032177,126.76136950000001,0.0,1178.2,0.0
8bIKyEWeydaX,브루앤웨이브 로스터리,"서울특별시 금천구 가산디지털1로 189 102호(가산동, (주)LG 가산 디 지털센터)",37.4821605,126.8797007,68,not_found,ChIJi88JEQCffDURAueamU8rRuk,브루인커피,서울특별시 금천구 가산디지털1로 212 코오롱디지털타워애스턴 1층,https://maps.google.com/?cid=16809170280086431490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.484549,126.8803431,0.167,271.6,0.217
2zuyCKL01na1,커피통,서울특별시 강서구 등촌로 3,37.5302619,126.8635896,68,not_found,ChIJUQHugsedfDUR2c84ROxvmk8,민쓰커피,서울특별시 등촌동 662-16 민쓰커피 7동 1층 2호 KR 서울특별시 강서구 화곡로 61길 64,https://maps.google.com/?cid=5736020135957286873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5579795,126.84893890000001,0.0,3341.8,-0.4
c5e2YlTi2F06,메베코,경기도 부천시 원미구 상일로145번길 14,37.4915674,126.7588701,67,not_found,,,,,,,0,,0
2cXxMQ9NbqYF,스몰띵,"서울특별시 강남구 도산대로46길 16 세븐빌딩 1층, 2층",37.5209924,127.0364128,67,not_found,,,,,,,0,,0
qJ2pmJGTkgSG,썸바실커피,경기도 남양주시 송산로339번길 19 1층,37.672632,127.1322389,67,not_found,ChIJaSQaod65fDUREPh9PUQAjM0,투썸플레이스 별내별가람역점,경기도 남양주시 덕송1로55번길 22 1 2층,https://maps.google.com/?cid=14811213567604160528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.6675761,127.11758769999999,0.0,1406.8,0.0
a8y9jsZqg7aQ,에스토 커피,전라남도 여수시 망마로 30 1층 에스토커피,34.7597462,127.6661849,67,not_found,ChIJeXTheUrebTURkbPOC2N6mck,(주)에스엠로테이트,전라남도 여수시 학동 209-2번지 KR,https://maps.google.com/?cid=14526776638878692241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,34.7588149,127.6602141,0.125,555.2,0.125
wt2q3r9sBuD3,줄기 커피바,서울특별시 강남구 도산대로30길 11 1층 줄기커피바,37.519144,127.029577,67,not_found,,,,,,,0,,0
vLVPnH7cZINE,목림로스터리,서울특별시 관악구 남현2길 18 1층,37.4758846,126.9763954,66,not_found,,,,,,,0,,0
NqVhOG2e4e2w,오버차지,전북특별자치도 익산시 선화로1길 58-31 다솔빌 1층 오버차지,35.9546459,126.9404443,66,not_found,,,,,,,0,,0
