v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
urCeNctBgQiW,빈브라더스 커피하우스 서울,"서울특별시 마포구 토정로9길 2 6층, 7층",37.5452009,126.9244369,90,matched,ChIJ43jxy7mZfDUR1-jsFH6lUCw,빈브라더스 커피하우스 서울,서울특별시 마포구 토정로9길 2,https://maps.google.com/?cid=3193234096741214423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.545059599999995,126.92447419999999,1.0,16.1,1.25
3WZjdTKERcnH,모모스 로스터리&커피바,부산광역시 영도구 봉래나루로 160 모모스커피,35.0962617,129.0426052,88,error,,,,,,,0,,0
wNlE4h6H4c7o,소울 로스터리,강원특별자치도 춘천시 동면 소양강로 538 샵5건물앞,37.9244011,127.7676653,88,matched,ChIJ1x9-lADvYjURbMl_CjjFXjg,소울로스터리커피,강원특별자치도 춘천시 소양강로 538,https://maps.google.com/?cid=4061900758419753324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.9243555,127.76721560000001,1.0,39.8,1.25
u9wfeBBNRkqC,커피템플,제주특별자치도 제주시 영평길 269 중선농원 커피템플,33.4781647,126.5702468,86,matched,ChIJJZtzPyH9DDURQ2otFBCmLsQ,커피템플,제주특별자치도 제주시 영평길 269,https://maps.google.com/?cid=14136418868350773827&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,33.4781416,126.5702901,1.0,4.8,1.25
KF2OEq8bIfYg,BCBL coffee roasters,부산광역시 수영구 남천동로108번길 49 2층,35.1469009,129.1137283,85,matched,ChIJjSbH_jHtaDURVSwqPfhiGaQ,BCBL coffee roasters,부산광역시 수영구 남천동로108번길 49 상가동 2 층,https://maps.google.com/?cid=11824591114955533397&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1469029,129.11390369999998,1.0,15.9,1.25
svXVmO04sxiB,월송 유로베이커리 앤 로스터리,강원도 춘천시 서면 경춘로 349-1,37.8481457,127.5507794,85,matched,ChIJc4cFjMzYYjURwP-PlJX6Rmg,월송유로베이커리앤로스터리,강원특별자치도 춘천시 서면 안보리 782-2,https://maps.google.com/?cid=7513968548663787456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.8480093,127.55115060000001,1.0,35.9,1.25
XUQDPxmCPyg3,향미사,경상북도 경주시 태종로 734 향미사,35.8391197,129.2083769,85,matched,ChIJX8VwREVPZjURpnBXOY9SwtU,향미사 HYANGMISA,경상북도 경주시 태종로 734,https://maps.google.com/?cid=15402964450656350374&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.8391223,129.2083834,0.85,0.7,1.1
M3pJ0KqUG839,히트커피로스터스 서교,서울특별시 마포구 동교로 146 관양빌딩 1층 카페,37.5552656,126.9183238,85,matched,ChIJc97iKhyZfDUReHAlmt9KMX0,히트커피로스터스 서교,서울특별시 마포구 동교로 146,https://maps.google.com/?cid=9021073852824121464&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.555216,126.91835700000001,1.0,6.2,1.25
iO9BoPLfOieh,그리다부부,부산광역시 중구 광복중앙로 35-1 1층 그리다부부,35.1025821,129.0307166,84,matched,ChIJmYrjAdXpaDURSNwBaAkaQb0,그리다부부,부산광역시 중구 광복중앙로 35-1 1층,https://maps.google.com/?cid=13637209774356552776&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.10257850000001,129.030735,1.0,1.7,1.25
QZPT4NeRRy6i,스트럿커피,부산광역시 부산진구 동성로39번길 28 스트럿,35.1541101,129.0668328,84,matched,ChIJX73ryZ_raDURUjsO3Wo5ya0,스트럿커피,부산광역시 부산진구 동성로39번길 28,https://maps.google.com/?cid=12522603370018388818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1541096,129.0668198,1.0,1.2,1.25
0BsCJ0QaEHGJ,챔프커피,서울특별시 용산구 녹사평대로26가길 24 1층,37.532533,126.9928149,84,matched,ChIJbws5L0yifDURFxLV5w3xrrE,챔프커피 이태원,서울특별시 용산구 녹사평대로26가길 24,https://maps.google.com/?cid=12803435832687268375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.532497899999996,126.9928235,0.85,4.0,1.1
XnihYh6RXCdg,커피고 by MOHB,강원도 고성군 토성면 토성로 84 1층 커피고,38.2538434,128.5636062,84,matched,ChIJo6iOAFa_2F8R3k8RRIbKQwU,커피고 by MOHB,강원특별자치도 고성군 특별자치도 토성면 토성로 84,https://maps.google.com/?cid=379369471645667294&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,38.253837499999996,128.56356689999998,1.0,3.5,1.25
q4VvN4rsNB5M,소사이어티카페,경기도 안양시 만안구 장내로139번길 56-6 1층,37.4000355,126.9216701,83,matched,ChIJf5STK9BgezURvMqTNB_uq6E,소사이어티카페,경기도 안양시 만안구 장내로139번길 56-6,https://maps.google.com/?cid=11649666678917417660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4000413,126.9216206,1.0,4.4,1.25
QDTTXwKZmK7u,일상엔,"경기도 수원시 팔달구 고화로 8 1층, 2층",37.2703543,127.0081915,83,matched,ChIJHUFrMT1DezURSRx94-p068I,일상엔베이커리카페 l Everyday Bakery Café l エブリデイ ベーカリーカフェ l 日常烘焙咖啡馆 l 수원맛집,경기도 수원시 매산로3가 128-12 KR,https://maps.google.com/?cid=14045448415072820297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.270320999999996,127.00823829999999,0.85,5.6,1.1
iTOXZ2XLel5f,정지영커피로스터즈,경기도 수원시 팔달구 신풍로 42 정지영커피로스터즈 행궁본점,37.284908,127.0144039,83,matched,ChIJ9_ndU51DezURyWyJWMNsnKs,정지영커피로스터즈 행궁본점,경기도 수원시 팔달구 신풍동 신풍로 42,https://maps.google.com/?cid=12365878263112363209&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.2848574,127.01440450000001,0.85,5.6,1.1
c8LGf8y77Ljg,카페 팃빗,서울특별시 관악구 관악로14가길 6 2층,37.4782592,126.9560033,83,matched,ChIJJ23Ja7ihfDURd8vZzY7RFIo,팃빗,서울특별시 관악구 관악로14가길 6,https://maps.google.com/?cid=9949807888037432183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.478256,126.95598509999999,1.0,1.6,1.25
U4gVTEgicQOQ,로와이드,"서울특별시 강남구 압구정로 146 1, 2층",37.5251105,127.0248805,82,matched,ChIJwxpmZnKjfDURHGJ5REhetwg,로와이드 압구정 (LOWIDE Apgujeong),"서울특별시 강남구 압구정로 146 성우빌딩 1,2층",https://maps.google.com/?cid=628074337520935452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5250741,127.0248785,0.85,4.1,1.1
fsXbiGNBbuSi,론트커피,"인천광역시 부평구 부평대로38번길 3 1, 2층",37.4948307,126.7231231,82,matched,ChIJ_1Ysr8t9ezUR72YJjYUvdPw,론트로스터스클럽 Lohnt,인천광역시 부평구 부평동 212-8,https://maps.google.com/?cid=18191217045499635439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4948382,126.7230973,0.85,2.4,1.1
qNoBU82H9A5a,몬스터로스터스,경상남도 창원시 마산합포구 월영동9길 14 1층 몬스터로스터스,35.180382,128.5636807,82,matched,ChIJpSiMqrUvbzUR1VJn3pUylsM,몬스터 로스터스,경상남도 창원시 마산합포구 월영동 월영동9길 14,https://maps.google.com/?cid=14093507703165375189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1803363,128.5636977,1.0,5.3,1.25
hgXRvMttcaxa,커피 몽타주,서울특별시 강동구 올림픽로48길 23-12 1층,37.5295051,127.1218766,82,matched,ChIJ1V3KElmlfDUR5hi87_XU9QE,커피몽타주 성내,서울특별시 강동구 올림픽로48길 23-12,https://maps.google.com/?cid=141253116086196454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5294746,127.1218402,0.85,4.7,1.1
8aPdAkyxppRu,터프이너프,경기도 평택시 포승읍 포승향남로 11 단독건물 터프이너프 카페,36.9828751,126.8799161,82,matched,ChIJKc6J1B8ZezURwMCLY6IXV24,터프 이너프 로스터스,경기도 평택시 포승읍 도곡리 942-5,https://maps.google.com/?cid=7950849653368144064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.9828571,126.87985760000001,1.0,5.6,1.25
ao3tsQbpUWHK,팟오브부산,부산광역시 부산진구 동성로39번길 30-7 1층,35.1543668,129.0666897,82,matched,ChIJEYFmN4rraDUR5IIg75Hpm2I,팟오브부산(Pot of Busan),부산광역시 부산진구 동성로39번길 30-7,https://maps.google.com/?cid=7105529650098504420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1543525,129.0666847,0.85,1.7,1.1
