v_rid,name,branch,addr,road_addr,phone,lat,lng,score,user_score,review_cnt,category,area,open_status,image,profile_url
urCeNctBgQiW,빈브라더스 커피하우스 서울,,"서울특별시 마포구 상수동 354-12 6층, 7층","서울특별시 마포구 토정로9길 2 6층, 7층",0507-1322-2012,37.5452009,126.9244369,90,4.8,26,"커피, 로스터리카페",상수,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260422080104_photo1_5bd79686eceb.webp,https://www.diningcode.com/profile.php?rid=urCeNctBgQiW
3WZjdTKERcnH,모모스 로스터리&커피바,,부산광역시 영도구 봉래동2가 131,부산광역시 영도구 봉래나루로 160 모모스커피,051-512-7036,35.0962617,129.0426052,88,4.4,69,"커피, 로스터리카페",영도,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260518121604_photo1_aaac37f40661.webp,https://www.diningcode.com/profile.php?rid=3WZjdTKERcnH
wNlE4h6H4c7o,소울 로스터리,,강원특별자치도 춘천시 동면 지내리 689-23,강원특별자치도 춘천시 동면 소양강로 538 샵5건물앞,033-253-7876,37.9244011,127.7676653,88,4.3,54,"카페, 로스터리카페",춘천,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260503074100700_photo_d3235bcf87e5.webp,https://www.diningcode.com/profile.php?rid=wNlE4h6H4c7o
u9wfeBBNRkqC,커피템플,,제주특별자치도 제주시 월평동 1348-3,제주특별자치도 제주시 영평길 269 중선농원 커피템플,070-8806-8051,33.4781647,126.5702468,86,4.6,32,"커피, 로스터리카페",제주시,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260422124936_photo1_36ef6be1f987.webp,https://www.diningcode.com/profile.php?rid=u9wfeBBNRkqC
KF2OEq8bIfYg,BCBL coffee roasters,,부산광역시 수영구 남천동 3-5,부산광역시 수영구 남천동로108번길 49 2층,0507-1492-7757,35.1469009,129.1137283,85,4.5,31,로스터리카페,광안리,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260202185502_photo1_8b71be551d48.webp,https://www.diningcode.com/profile.php?rid=KF2OEq8bIfYg
svXVmO04sxiB,월송 유로베이커리 앤 로스터리,,강원도 춘천시 서면 안보리 782-2,강원도 춘천시 서면 경춘로 349-1,0507-1497-6768,37.8481457,127.5507794,85,4.4,18,"커피, 로스터리카페",춘천,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260222102816207_photo_tWPMh0i8m0ba.webp,https://www.diningcode.com/profile.php?rid=svXVmO04sxiB
XUQDPxmCPyg3,향미사,,경상북도 경주시 사정동 1-42,경상북도 경주시 태종로 734 향미사,070-8775-5555,35.8391197,129.2083769,85,4.7,38,"커피, 로스터리카페",경주,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260501015414375_photo_7a4a733c2b7e.webp,https://www.diningcode.com/profile.php?rid=XUQDPxmCPyg3
M3pJ0KqUG839,히트커피로스터스 서교,,서울특별시 마포구 서교동 463-2 관양빌딩,서울특별시 마포구 동교로 146 관양빌딩 1층 카페,02-335-7117,37.5552656,126.9183238,85,4.7,16,"커피, 로스터리카페",홍대,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260521015502631_photo_e0d87b787abe.webp,https://www.diningcode.com/profile.php?rid=M3pJ0KqUG839
iO9BoPLfOieh,그리다부부,,부산광역시 중구 대청동2가 23-2 1층,부산광역시 중구 광복중앙로 35-1 1층 그리다부부,0507-1481-0484,35.1025821,129.0307166,84,4.3,27,"커피, 로스터리카페",부산중구,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260516110928817_photo_82e41b7bed07.webp,https://www.diningcode.com/profile.php?rid=iO9BoPLfOieh
QZPT4NeRRy6i,스트럿커피,,부산광역시 부산진구 전포동 340-31 스트럿,부산광역시 부산진구 동성로39번길 28 스트럿,0507-1338-2635,35.1541101,129.0668328,84,4.2,32,"커피, 로스터리카페",전포,영업 전,https://d12zq4w4guyljn.cloudfront.net/300_300_20260514115614493_photo_f76b422cd508.webp,https://www.diningcode.com/profile.php?rid=QZPT4NeRRy6i
