place_id,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJVVVp3BaJGGARfAgSR2yEybw,ブルーボトルコーヒー 清澄白河フラッグシップカフェ,〒135-0023 東京都江東区平野１丁目４−８,35.6777557,139.8005894,https://maps.google.com/?cid=13603549750032992380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,dessert_restaurant,snack_bar,meal_takeaway,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.1,4975,コーヒーロースター;coffee roaster,東京都_清澄白河
ChIJA9K3Lyg6AWAROyOL6VqJ46Q,ロクメイコーヒー 奈良店,〒630-8225 奈良県奈良市西御門町３１,34.6836328,135.8274627,https://maps.google.com/?cid=11881491265491772219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,2840,自家焙煎コーヒー;coffee roaster;珈琲焙煎,奈良県
ChIJIXEre6gIAWAREVefMDUfbV8,Kurasu Kyoto Stand,〒600-8235 京都府京都市下京区東油小路町５５２,34.9863776,135.7538511,https://maps.google.com/?cid=6876186519374092049&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,coffee_stand,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,2603,コーヒーロースター;coffee roaster,滋賀県
ChIJ1T9unxrnAGARhtQGwQaaF-I,LiLo Coffee Roasters,〒542-0086 大阪府大阪市中央区西心斎橋１丁目１０−２８ １階,34.6740723,135.49803359999999,https://maps.google.com/?cid=16291659530834990214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.8,2439,coffee roaster;コーヒーロースター,宮城県
ChIJCS0wmqaMGGAR2h4xKb_ah8c,THE ROASTERY by NOZY COFFEE,〒150-0001 東京都渋谷区神宮前５丁目１７−１３ リヴェール神宮前,35.665572399999995,139.7047658,https://maps.google.com/?cid=14377700849968291546&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,2359,coffee roaster;コーヒーロースター,茨城県
ChIJDxYKIhCMGGARScnqzc-T-TU,GLITCH COFFEE&ROASTERS,〒101-0054 東京都千代田区神田錦町３丁目１６ １階,35.693742799999995,139.76130469999998,https://maps.google.com/?cid=3889302273933363529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,2348,coffee roaster;コーヒーロースター,茨城県
ChIJOztrDOfmAGARGp57ZmSWnys,ブルックリン ロースティング カンパニー 北浜,〒541-0041 大阪府大阪市中央区北浜１丁目１−９ ハウザー 北浜ビル 1F,34.6910465,135.5091563,https://maps.google.com/?cid=3143396422888168986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,2012,コーヒーロースター;coffee roaster,大阪府
ChIJb3Q3lfnmAGARP7CUdaGq3P8,タカムラワイン＆コーヒーロースターズ,〒550-0002 大阪府大阪市西区江戸堀２丁目２−１８,34.687283,135.491105,https://maps.google.com/?cid=18436798584987103295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,meal_takeaway,liquor_store,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.5,1901,コーヒーロースター;coffee roaster,大阪府
ChIJC4ikN_mPAGARx3L0DJENQII,TAOCA COFFEE 神戸元町店,〒650-0023 兵庫県神戸市中央区栄町通２丁目７−７ 1F,34.6874281,135.18697219999999,https://maps.google.com/?cid=9385516540078879431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,coffee_roastery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,1847,コーヒーロースター;自家焙煎コーヒー;珈琲焙煎,兵庫県
ChIJUffCkl47AWARy6BKw4o3RXY,"CHAMI - Specialty Coffee Roaster - Nara, JAPAN",〒630-8223 奈良県奈良市角振新屋町６−２,34.6817762,135.82765229999998,https://maps.google.com/?cid=8522278938989994187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"cafe,cake_shop,bakery,food_store,manufacturer,store,wholesaler,point_of_interest,food,establishment",OPERATIONAL,4.7,1738,coffee roaster;コーヒーロースター;自家焙煎コーヒー;珈琲焙煎,三重県
ChIJiXocb7WNGGAReVVBhRwWLoQ,ブルーボトルコーヒー渋谷カフェ,〒150-0041 東京都渋谷区神南１丁目７−３ 内 渋谷区立北谷公園,35.664094399999996,139.69951749999998,https://maps.google.com/?cid=9524574573685724537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,snack_bar,cafe,meal_takeaway,dessert_restaurant,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.6,1629,coffee roaster,東京都_渋谷
ChIJZ14Mv2jnAGART3u5Qc-BIxY,Brooklyn Roasting Company Namba,〒556-0012 大阪府大阪市浪速区敷津東１丁目１−２１,34.6591855,135.5026375,https://maps.google.com/?cid=1595261420180175695&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_shop,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.4,1617,coffee roaster;コーヒーロースター,和歌山県
ChIJRTalcMWMGGARlThRGi6TE1w,VERVE COFFEE ROASTERS NEWoMan SHINJUKU,〒151-0051 東京都渋谷区千駄ケ谷５丁目２４−５５ NEWoMan 新宿 ２Ｆ,35.6883844,139.70121939999999,https://maps.google.com/?cid=6634808502266181781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,1580,coffee roaster;コーヒーロースター,茨城県
ChIJcU_t0jwJAWARe1MxThUljw8,Goodman Roaster Kyoto,〒600-8442 京都府京都市下京区矢田町１１５−２ ベアフルートイイノ 一階,35.0023772,135.755671,https://maps.google.com/?cid=1121155605674939259&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,1532,coffee roaster;コーヒーロースター;自家焙煎コーヒー;珈琲焙煎,福井県
ChIJMeHdZnApC18RhUmGUbAfkSk,マーメイドコーヒー ロースターズ 札幌,〒060-0063 北海道札幌市中央区南３条西１丁目１２−７,43.057817899999996,141.357399,https://maps.google.com/?cid=2995210069320550789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.8,1514,コーヒーロースター;coffee roaster;珈琲焙煎,北海道
